DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2009,9.1,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2010,9.8,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2011,9.9,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2012,10.8,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2013,11.4,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2014,10.8,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2015,10.0,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2016,9.1,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2017,8.1,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2018,7.2,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2019,6.7,
ESTAT:UNE_RT_A_H(1.0),15/02/23 23:00:00,A,Y15-74,PC_ACT,T,EU27_2020,2020,7.1,
